Device: USB-1408FS-Plus,,,,
Serial Number: 18FB9D0,,,,
Channel Count: 3,,,,
Sample Count: 31250,,,,
Start Time: 6/25/2018 1:33:59 PM,,,,
Sampling Interval: 0.0005,,,,
Time,Height (mm),SLS Voltag (V),Applied Vo (V),LS Resistance (ohms)
0,0,5.937,11.804,323.6155787
0.0005,0,5.937,11.801,323.7811392
0.001,0,5.937,11.804,323.6155787
0.0015,0.3,5.937,11.801,323.7811392
0.002,0.3,5.937,11.801,323.7811392
0.0025,0,5.937,11.801,323.7811392
0.003,0,5.937,11.801,323.7811392
0.0035,0.3,5.937,11.806,323.505299
0.004,0.3,5.937,11.801,323.7811392
0.0045,0,5.937,11.801,323.7811392
0.005,0.599,5.934,11.801,323.4520539
0.0055,0.599,5.937,11.801,323.7811392
0.006,0.599,5.937,11.801,323.7811392
0.0065,-0.299,5.937,11.801,323.7811392
0.007,0,5.939,11.801,324.0007165
0.0075,0.599,5.937,11.804,323.6155787
0.008,0,5.937,11.806,323.505299
0.0085,0,5.937,11.801,323.7811392
0.009,0,5.937,11.804,323.6155787
0.0095,0.599,5.937,11.801,323.7811392
0.01,0.599,5.937,11.801,323.7811392
0.0105,0,5.937,11.801,323.7811392
0.011,0,5.937,11.804,323.6155787
0.0115,0.3,5.937,11.801,323.7811392
0.012,0.3,5.937,11.804,323.6155787
0.0125,0.3,5.937,11.804,323.6155787
0.013,0,5.937,11.801,323.7811392
0.0135,0,5.937,11.801,323.7811392
0.014,0.3,5.937,11.801,323.7811392
0.0145,0,5.937,11.804,323.6155787
0.015,0,5.937,11.804,323.6155787
0.0155,0,5.937,11.801,323.7811392
0.016,0.599,5.937,11.804,323.6155787
0.0165,0.599,5.937,11.801,323.7811392
0.017,0,5.934,11.801,323.4520539
0.0175,0.599,5.937,11.804,323.6155787
0.018,0.599,5.937,11.801,323.7811392
0.0185,0,5.937,11.801,323.7811392
0.019,0,5.937,11.804,323.6155787
0.0195,0,5.934,11.801,323.4520539
0.02,0.3,5.937,11.804,323.6155787
0.0205,0,5.937,11.804,323.6155787
0.021,0,5.937,11.804,323.6155787
0.0215,0.599,5.939,11.801,324.0007165
0.022,0.599,5.937,11.804,323.6155787
0.0225,0.599,5.937,11.801,323.7811392
0.023,0,5.937,11.801,323.7811392
0.0235,0,5.937,11.801,323.7811392
0.024,0,5.937,11.804,323.6155787
0.0245,0.599,5.937,11.801,323.7811392
0.025,0,5.937,11.799,323.891607
0.0255,0,5.934,11.804,323.2867462
0.026,0,5.939,11.801,324.0007165
0.0265,0.599,5.937,11.801,323.7811392
0.027,0,5.937,11.801,323.7811392
0.0275,0,5.937,11.804,323.6155787
0.028,0,5.937,11.801,323.7811392
0.0285,0.3,5.937,11.804,323.6155787
0.029,0.3,5.937,11.801,323.7811392
0.0295,0,5.937,11.804,323.6155787
0.03,0,5.937,11.801,323.7811392
0.0305,0.599,5.937,11.801,323.7811392
0.031,0.3,5.937,11.801,323.7811392
0.0315,0,5.937,11.801,323.7811392
0.032,0,5.937,11.801,323.7811392
0.0325,0.898,5.937,11.804,323.6155787
0.033,0,5.937,11.801,323.7811392
0.0335,0,5.934,11.801,323.4520539
0.034,0.3,5.937,11.804,323.6155787
0.0345,0.3,5.937,11.804,323.6155787
0.035,0.3,5.939,11.801,324.0007165
0.0355,0.3,5.937,11.801,323.7811392
0.036,0,5.937,11.804,323.6155787
0.0365,0,5.937,11.804,323.6155787
0.037,0.3,5.937,11.801,323.7811392
0.0375,0.599,5.937,11.804,323.6155787
0.038,0,5.937,11.804,323.6155787
0.0385,0,5.939,11.801,324.0007165
0.039,0.599,5.937,11.801,323.7811392
0.0395,0,5.937,11.801,323.7811392
0.04,0,5.937,11.801,323.7811392
0.0405,0,5.937,11.804,323.6155787
0.041,0.599,5.937,11.801,323.7811392
0.0415,0.3,5.937,11.804,323.6155787
0.042,0,5.937,11.804,323.6155787
